source_serial_no,gasoline_pct,ethanol_pct,pentanol_pct,propanol_pct,butanol_pct,n_methylaniline_pct,torque_nm,speed_rpm,compression_ratio,cv_mj_kg,air_fuel_ratio,viscosity_m2_s,ron,oxygen_pct,bte_pct,bsfc_g_kwh,co_vol_pct,hc_ppm,source_excel_row,quarantine_reason,composition_sum_original_pct,composition_sum_pct,blend_group
462.0,90.0,0.0,10.0,0.0,10.0,0.0,4.07,2100.0,4.67,41.72,15.97,7.78e-07,97.2,4.12565,6.889952979560502,1252.100840336135,1.495,466.0,483,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
463.0,90.0,0.0,10.0,0.0,10.0,0.0,6.06,2500.0,4.67,41.72,16.17,7.78e-07,97.2,4.12565,9.65686123629174,888.8888888888889,1.6588,465.0,484,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
464.0,90.0,0.0,10.0,0.0,10.0,0.0,7.02,2900.0,4.67,41.72,16.17,7.78e-07,97.2,4.12565,10.840919854759775,789.7435897435898,1.8967999999999996,364.0,485,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
465.0,90.0,0.0,10.0,0.0,10.0,0.0,7.97,3300.0,4.67,41.72,15.1,7.78e-07,97.2,4.12565,11.56260329036454,728.1553398058253,2.4278000000000004,321.0,486,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
466.0,90.0,0.0,10.0,0.0,10.0,0.0,2.05,1700.0,5.5,41.72,12.81,7.78e-07,97.2,4.12565,4.108385795230115,2098.360655737705,1.1735999999999998,618.0,487,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
467.0,90.0,0.0,10.0,0.0,10.0,0.0,4.03,2100.0,5.5,41.72,15.69,7.78e-07,97.2,4.12565,7.392456166806037,1157.02479338843,1.3875999999999997,439.0,488,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
468.0,90.0,0.0,10.0,0.0,10.0,0.0,5.99,2500.0,5.5,41.72,14.95,7.78e-07,97.2,4.12565,10.156643710388662,840.909090909091,1.5765999999999996,412.0,489,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
469.0,90.0,0.0,10.0,0.0,10.0,0.0,7.09,2900.0,5.5,41.72,15.73,7.78e-07,97.2,4.12565,10.927678895705968,790.2439024390245,1.653,308.0,490,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
470.0,90.0,0.0,10.0,0.0,10.0,0.0,7.98,3300.0,5.5,41.72,16.17,7.78e-07,97.2,4.12565,11.607172397877576,723.8095238095237,2.3455999999999997,245.0,491,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
471.0,90.0,0.0,10.0,0.0,10.0,0.0,2.06,1700.0,6.5,41.72,13.57,7.78e-07,97.2,4.12565,4.199988484790327,2016.666666666667,1.0703399999999994,604.0,492,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
472.0,90.0,0.0,10.0,0.0,10.0,0.0,4.06,2100.0,6.5,41.72,14.57,7.78e-07,97.2,4.12565,7.55516802754415,1142.857142857143,1.2543,427.0,493,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
473.0,90.0,0.0,10.0,0.0,10.0,0.0,6.02,2500.0,6.5,41.72,14.95,7.78e-07,97.2,4.12565,10.292974498447572,832.4022346368714,1.4733399999999994,375.0,494,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
474.0,90.0,0.0,10.0,0.0,10.0,0.0,7.04,2900.0,6.5,41.72,14.65,7.78e-07,97.2,4.12565,11.091531199094797,776.6990291262135,1.7113399999999999,368.0,495,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
475.0,90.0,0.0,10.0,0.0,10.0,0.0,7.98,3300.0,6.5,41.72,16.17,7.78e-07,97.2,4.12565,12.212374938649726,705.0691244239632,2.2423399999999996,232.0,496,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
476.0,90.0,0.0,10.0,0.0,10.0,0.0,2.01,1700.0,7.5,41.72,12.88,7.78e-07,97.2,4.12565,4.255250642179134,2000.0,0.9725599999999994,568.0,497,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
477.0,90.0,0.0,10.0,0.0,10.0,0.0,4.07,2100.0,7.5,41.72,14.46,7.78e-07,97.2,4.12565,7.639092725661419,1133.333333333333,1.1985,350.0,498,fuel_composition_not_within_99.99_to_100.01_pct,110.0,,
